species	sex weight	collection_year	collection_month	collection_day	plot	fields_season
DM	M	40	2014	1	9	1	2014
DM	F	36	2014	1	9	1	2014
DM	F	51	2014	3	13	1	2014
DM	F	44	2014	3	13	1	2014
DS	F	146	2014	3	13	1	2014
NA	NA	NA	2014	1	8	2	2014
DM	M	44	2014	1	8	2	2014
PF	F	7	2014	1	8	2	2014
DM	M	45	2014	1	8	2	2014
OT	NA	NA	2014	1	8	2	2014
DS	M	NA	2014	1	8	2	2014
OX	NA	NA	2014	1	8	2	2014
NA	M	NA	2014	2	18	2	2014
PF	F	7	2014	2	18	2	2014
DM	M	52	2014	2	18	2	2014
PF	M	8	NA	3	11	3	2014
NA	F	NA	NA	4	8	3	2014
NA	NA	NA	NA	5	6	3	2014
NA	F	182	NA	5	18	3	2014
OT	F	29	NA	6	9	3	2014
NA	F	115	NA	7	8	3	2014
NA	M	190	NA	7	8	3	2014
DM	F	37	1978	1	8	4	2014
DM	M	NA	1978	1	8	4	2014
DM	F	48	1978	1	8	4	2014
DO	M	52	1978	1	8	4	2014
OL	M	35	1978	1	8	4	2014
DM	F	NA	2013	7	16	2	2013
DM	M	33	2013	7	16	7	2013
DM	M	NA	2013	7	16	3	2013
DM	M	NA	2013	7	16	1	2013
DM	M	40	2013	7	18	3	2013
DM	M	48	2013	7	18	7	2013
DM	F	29	2013	7	18	4	2013
DM	F	37	2013	7	18	6	2013
DO	F	52	2013	8	19	8	2013
DO	F	33	2013	10	17	3	2013
DO	F	50	2013	10	17	3	2013
DO	F	40	2013	12	10	9	2013
DO	M	45	2013	12	10	1	2013
DO	F	41	2013	12	11	8	2013
DS	F	117	2013	11	12	9	2013
DS	F	126	2013	11	13	11	2013
DS	M	NA	2013	11	13	17	2013
DS	F	NA	2013	11	13	14	2013
DS	F	122	2013	11	13	11	2013
DS	F	107	2013	11	13	4	2013
DS	F	115	2013	11	13	4	2013
